isni,name_count,surname,forename
0000000080773062,18,Chadwick,Nora Kershaw
0000000080773062,19,Nora Kershaw Chadwick,
0000000080773062,20,تشادويك، نورا ك.،,
0000000080773062,21,Chadwick,N. Kershaw
0000000080773062,22,Chadwick,Nora Kershaw
0000000510860589,1,Armitt,Mary Louisa
0000000510858702,1,Chesshyre,Mary Elizabeth
0000000118489789,1,Thornley,Isobel D.
0000000118489789,2,Thornley,I. D.
0000000118489789,3,Thornley,I.D.
0000000118489789,4,Thornley,Isobel D.
0000000118489789,5,Thornley,Isobel Dorothy
0000000510847894,1,Owen,Mary
0000000510883393,1,Kingsley,
0000000449326888,1,Monteiro,Henriqueta
0000000449326888,2,Henriqueta Monteiro,
0000000449326888,3,Monteiro,Henriqueta
0000000061472141,1,Toynbee,Margaret Ruth
0000000061472141,2,Toynbee,Margaret
0000000061472141,3,Toynbee,Margaret
0000000061472141,4,Toynbee,Margaret
0000000061472141,5,Toynbee,Margaret
0000000061472141,6,Toynbee,Margaret Ruth
0000000061472141,7,Toynbee,Margaret Ruth
0000000061472141,8,Toynbee,Margaret
0000000510964329,1,Day,Emily
0000000082793454,1,Peacock,Mabel
0000000082793454,2,Mabel Peacock,
0000000082793454,3,Peacock,Mabel
0000000082793454,4,Peacock,Mabel
0000000082793454,5,Peacock,Mabel
0000000510958682,1,Grove,Florence
0000000081411469,1,Toulmin Smith,Lucy
0000000081411469,2,Smith,Lucy Toulmin
0000000081411469,3,Smith,Lucy Toulmin
0000000081411469,4,Lucy Toulmin Smith,
0000000081411469,5,Smith Lucy Toulmin,
0000000081411469,6,Smith,Lucy Toulmin
0000000081411469,7,Smith,Lucy Toulmin
0000000081411469,8,Smith,Lucy Toulmin
0000000081411469,9,Smith,Lucy Toulmin
0000000081411469,10,Smith,Lucy Toulmin
0000000081411469,11,Smith,Lucy Toulmin
0000000081411469,12,Smith,Lucy Toulmin
0000000081411469,13,Smith,Lucy Toulmin
0000000081411469,14,Smith,Lucy Toulmin
0000000081411469,15,Smith,Lucy Toulmin
0000000081411469,16,Smith,Lucy Toulmin
0000000081411469,17,Smith,Lucy Toulmin
000000044721062X,1,Blake,Edith
000000044721062X,2,Edith Bernal Blake,
0000000510883588,1,Beevor,Lucy
000000051083257X,1,Bland,Fanny
0000000084675742,1,Armytage,Fenella
0000000084675742,2,Armytage,
0000000038697123,1,Berkeley,Mildred
0000000038697123,2,Berkeley,Mildred
0000000510937232,1,Moore,Anne Tower
0000000510918031,1,Simpson,B. E.
0000000061233685,1,Cameron,Mary Lovett
0000000061233685,2,Cameron,Mary Lovett
0000000061233685,3,Cameron,Mary Lovett
0000000061233685,4,Cameron,Mary Lovett
0000000061233685,5,Cameron,Mary Lovett
0000000061233685,6,Mary Lovett Cameron,
000000008351033X,1,Eckenstein,Lina
000000008351033X,2,Eckenstein,Lina
000000008351033X,3,Eckenstein,Lina
000000008351033X,4,Eckenstein,Lina
000000008351033X,5,Lina Eckenstein,
000000008351033X,6,Eckenstein,Lina
0000000510918146,1,Foord,
0000000081100572,1,Stopes,Charlotte Carmichael
0000000081100572,2,Stopes,Charlotte Carmichael
0000000081100572,3,Charlotte Carmichael Stopes,
0000000081100572,4,Stopes,C. C.
0000000081100572,5,Stopes,C. C.
0000000081100572,6,Stopes,C. C.
0000000081100572,7,Stopes,C. C.
0000000081100572,8,Stopes,Charlotte C.
0000000081100572,9,Stopes,Charlotte Carmichael
0000000081100572,10,Stopes,Charlotte Carmichael
0000000081100572,11,Stopes,Charlotte Carmichael
0000000081100572,12,Stopes,C.C.
0000000510870277,1,Lambert,Henrietta
0000000121294835,1,Gilchrist,Annie Geddes
0000000121294835,2,Anne Gilchrist,
0000000121294835,3,Gilchrist,Anne Geddes
0000000121294835,4,Gilchrist,Anne Geddes
0000000115586313,1,Harmer,Florence Elizabeth
0000000115586313,2,Harmer,Florence Elizabeth
0000000115586313,3,Harmer,Florence E.
0000000115586313,4,Florence Harmer,
0000000115586313,5,Harmer,Florence E.
0000000115586313,6,Harmer,Florence E.
0000000115586313,7,Harmer,Florence Elizabeth
0000000115586313,8,Harmer,Florence Elizabeth
0000000115586313,9,Harmer,Florence Elizabeth
0000000115586313,10,Harmer,Florence Elizabeth
0000000115586313,11,Harmer,F.E.
0000000510937726,1,Cross,Marjorie
000000051084890X,1,Myers,Joan Mary Lovell
0000000510918429,1,Scull,Edith Maria
0000000510922794,1,Parkin,E. M.
0000000510950082,1,Jones ,Evelyn Mary
0000000510844378,1,Austin,Gertrude
0000000510923092,1,Keef,Phoebe Alice Marion
0000000510921409,1,Mrs Good,
0000000510935560,1,Meade-Waldo,Cecily Frances
0000000054570536,1,Schlesinger,Kathleen
0000000054570536,2,Kathleen Schlesinger,
0000000054570536,3,Schlesinger,Kathleen
0000000054570536,4,Schlesinger,Kathleen
0000000054570536,5,Schlesinger,Kathleen
0000000510845004,1,Long,"A. F., Miss"
0000000045821604,1,Dent,Emma
0000000045821604,2,Dent,Emma
0000000045821604,3,Dent,Emma
0000000033370025,1,Buckland,Anne Walbank
0000000033370025,2,Anne Walbank Buckland,
0000000033370025,3,Buckland,Anne Walbank
0000000510858622,1,Sheffield,
0000000123377749,1,Lawson,Emily M.
0000000123377749,2,Lawson,Emily M.
0000000510883297,1,Boswell,
0000000510867334,1,Clarke,Edith Lilias Bruce
0000000510883510,1,Smith,
0000000074254178,1,Richardson,Katherine Margaret
0000000074254178,2,Richardson,Katherine M.
0000000074254178,3,Richardson,Katherine M.
0000000074254178,4,Richardson,Katherine M.
0000000385454548,1,Lorimer,Hilda Lockhart
0000000385454548,2,Hilda Lockhart Lorimer,
0000000385454548,3,Lorimer,H. L.
0000000385454548,4,Lorimer,Hilda Lockhart
0000000385454548,5,Lorimer,Hilda Lockhart
0000000385454548,6,Lorimer,Hilda Lockhart
0000000385454548,7,Lorimer,Hilde Lockhart
0000000510883633,1,Brown,
0000000082185723,1,Cope,Emma Elizabeth
0000000082185723,2,Cope,Emma Elizabeth
0000000082185723,3,Emma Elizabeth Thoyts,
0000000082185723,4,Thoyts,Emma Elizabeth
0000000082185723,5,Thoyts,Emma Elizabeth
0000000082185723,6,Thoyts,Emma Elizabeth
0000000082185723,7,Thoyts,Emma Elizabeth
0000000039583558,1,Morton,Anna Anderson
0000000039583558,2,Morton,A.A.
0000000039583558,3,Morton,A. Anderson
0000000039583558,4,Morton,A. A.
0000000039583558,5,Morton,A. Anderson
0000000039583558,6,Morton,A.A.
0000000510941661,1,Russell,Helen Jane Mountstuart
0000000510867123,1,Dodd,Margaret Augusta
000000008403091X,1,Levy,Gertrude Rachel
000000008403091X,2,Levy,Gertrude Rachel
000000008403091X,3,Gertrude Rachel Levy,
000000008403091X,4,Levy,G. Rachel
000000008403091X,5,Levy,G. Rachel
000000008403091X,6,Levy,G. Rachel
000000008403091X,7,Levy,Gertrude Rachel
000000008403091X,8,Levy,Gertrude Rachel
000000008403091X,9,Levy,Gertrude Rachel
000000008403091X,10,Levy,Gertrude Rachel
000000008403091X,11,Levy,Gertrude Rachel
0000000510858323,1,Branson,Elizabeth
0000000510844298,1,MacLeod,Flora A.
0000000510867369,1,Story-Maskelyne,Inez
0000000510942103,1,Tite,Emily
0000000510845557,1,Sturge,Julia
0000000510863974,1,Lumsden,Mary
0000000080846129,1,Weston,Jessie Laidlay
0000000080846129,2,Weston,Jessie L.
0000000080846129,3,Jessie Weston,
